date,count,text
Jun 2013,5,#TatsuyaNakadai asking #KihachiOkamoto's widow to come on stage was a very touching and emotional moment this evening http://t.co/XwJdu9I9Wa
Jun 2013,5,Dear fifth harmony. Please. Announce. The. Single. Release. Date. And. The. Name. Of. The Song. This. Week. Thank you. Simon. X
Jun 2013,5,Dear fifth harmony. Please. Announce. The. Single. Release. Date. And. The. Name. Of. The Song. This. Week. Thank you. Simon. X
Jun 2013,5,Dear fifth harmony. Please. Announce. The. Single. Release. Date. And. The. Name. Of. The Song. This. Week. Thank you. Simon. X
Jun 2013,5,Dear fifth harmony. Please. Announce. The. Single. Release. Date. And. The. Name. Of. The Song. This. Week. Thank you. Simon. X
Oct 2013,5,People who feel safer with a gun than with guaranteed medical insurance don't yet have a fully adult concept of scary.
Oct 2013,5,Wise words. http://t.co/Umwy4fSc1E
Oct 2013,5,le daron a @MarleneAzuero http://t.co/sMgi5xc1tz
Oct 2013,5,....내가 입던 옷도 입혀줘야하고 에효 우리 지민이 애기네 애기 http://t.co/HhKr2evpRl
Oct 2013,5,"Real bands save fans, real fans save bands"
May 2013,4,@MichelleDBeadle you're gonna love this pic. http://t.co/MpCitZrtYc
May 2013,4,A very happy birthday to the best guy I know Mr. @CoryMonteith :) Thanks for making me feel like the luckiest girl in the world every day.xo
May 2013,4,اللهم لاتحرمنامن فضلك الظيم امين. http://t.co/VBltsGdky7
May 2013,4,وأنت في طرابزون #تركيا يمكنك زيارة مرتفعات كومبيت Aladağ الرائعة التي تبعد40كم من جيرسون ومنها تستطيع رؤية جبال اوردو http://t.co/qzns5xRxmG
Nov 2013,3,Bored http://t.co/hjiL7hPtvY
Nov 2013,3,Berapakah yg mampu me-retweet nama yg indah ini. :) http://t.co/i8UdBFabKV
Nov 2013,3,I think this is an invitation #hentai #ass #pussy http://t.co/hSxkCBK7HO
Dec 2013,3,Modelling it out in New Look http://t.co/SgLrinZpLD
Dec 2013,3,http://t.co/TIvkDU59BT
Dec 2013,3,แท่งเดียวกัน คนเราก็เลือกใช้สีดำมากกว่า เพราะสีขาวระบายไปก็ไม่มีใครมองไม่เห็น ทุกวันนี้มันเป็นแบบนี้ไง http://t.co/lMSTGRcbNk
Mar 2012,3,"""@EarlyVille_: Yall look at jailHouse trae lol. http://t.co/RCzG0lgJ""Lmao Hell Nahh"
Mar 2012,3,"Sometimes I wanna tweet things like ""Bitch how you stop fuckin with me and now you live on twitter everyday""...but then I just don't."
Mar 2012,3,"Sometimes I wanna tweet things like ""Bitch how you stop fuckin with me and now you live on twitter everyday""...but then I just don't."
Sep 2013,3,"Putin is having such a good time. Our President is making him look like the genius of all geniuses. Do not fear,we are a NATION OF POTENTIAL"
Sep 2013,3,너 일루와바 http://t.co/ErJu8PvRkQ
Sep 2013,3,The song played from many ice cream trucks was originally written by Vin Diesel to lure Hansel and Gretel into his gingerbread house.
Oct 2012,2,@Jan_Vertonghen @jan_vertonghen @th14Renato http://t.co/3zWkH3af
Oct 2012,2,Weer thuis!. Dat was de #RNrally. Met dank aan @QmusicNL http://t.co/lmv0kmjy
Jul 2012,2,“@mbmradio: Foto:BomberosLos Andes rescata a persona que cae a canal de regadío en calle Papudo esta mañana http://t.co/UtQNUgkU ”
Jul 2012,2,Leo que el Tottenham quiere a Cazorla como recambio de Modric. ¿Y por qué el Real Madrid no ficha a Cazorla que es aún mejor que Modric?
Nov 2012,2,http://t.co/9MeyhGEY
Nov 2012,2,For the world of beautiful females to hype over me like Justin Bieber #dream
Aug 2013,2,"and what if I want neither
#sixwords http://t.co/LmdhGxPAM3"
Aug 2013,2,Our story. Our awards. Our songs. Our albums. Our tour. Our journey...just beginning. This is forever. Thank u. Love.
May 2012,2,really happy today :D Avocado is my new fave vegetable :) x
May 2012,2,Subscribiros modafocas! http://t.co/rtebVPTm
Sep 2010,1,Im a get me one of them bitches from a third  world country. At least she won't have high expectations. Heres a clean glass a water baby lol
Jul 2010,1,hvae an issue with nights. days are so eventful that nites seem empty...as if the music has suddenly stopped...in the middle of a dance step
Sep 2011,1,"Valeu, gente, pelo carinho e pela torcida de vcs aqui no Twitter. Agora, é seguir trabalhando."
Feb 2013,1,6 days until pitchers &amp; catchers report...We are unpacked &amp; ready in Sarasota! RT if you're excited! #SpringTraining http://t.co/saiFcI5H
May 2011,1,Now Live Muscle Men For Men on Cam at Twinksandbearies.com
Jul 2013,1,:-) http://t.co/H2X6R1rCJ5
Jun 2012,1,ello little niall http://t.co/Uyzm6Ilq
Apr 2013,1,"I had a dream I got a ticket on my car for ""showing unstable behavior on twitter"""
