stuff,count
comey,59
comeyfiring,52
trump,28
trumprussia,27
breaking,13
maga,12
bethunecookman,12
10m,12
fbidirector,8
10may,8
comeyfired,7
trumprussiacoverup,7
macron,7
unhackthevote,7
10mayo,6
bowwowchallenge,6
lockherup,6
resist,6
caracas,5
russian,5
draintheswamp,5
trumprussiainvestigation,5
climatechangein5words,5
jamescomey,5
impeachtrump,5
thelead,4
ksleg,4
aplang,4
fireoliver,4
wednesdaywisdom,4
comeygate,4
theresistance,4
antitrumpmvmt,3
potus,3
whatdoyouthink,3
maduro,3
tcot,3
venezuela,3
clintonbodycount,3
hannity,3
democrats,3
russia,3
followthefacts,2
russiagate,2
presidenttrump,2
gop,2
ultimahora,2
hbcu,2
foxnewsspecialists,2
fbi,2
liberalmeltdown,2
beyonce,2
mmlp,2
indivisible,2
trumptrain,2
snap,2
russianfm,2
sergeilavrov,2
presidentielle2017,2
comeyisnotourhomey,2
schumer,2
video,2
lockhimup,2
fakenews,2
donaldtrump,2
smartnews,2
cavs,2
drainstheswamp,2
nba,2
crookedhillary,2
lavrov,2
theresamay,1
ge17,1
resisttrumpcare,1
puputov,1
desperatetimes,1
spicerfacts,1
ukraine,1
stocks,1
theshortlist,1
nevertrump,1
justinbieber,1
muhrussians,1
conservatisme,1
huma,1
cuckingincarolina,1
idaorwell,1
o4,1
howtosavetheusa,1
independentcommissionnow,1
donate,1
notfromaleftwingblog,1
cnn,1
stolenvalor,1
wearethepeople,1
salman,1
coverup,1
nyc,1
betsydevos,1
predicciones2017,1
keepitpublic,1
goodmorning,1
coupdetat,1
hesmypresident,1
congresskooks,1
specialprosecutor,1
idacohen,1
comeyhadtogo,1
subpoenas,1
snowflakes,1
idaxfiles,1
rt,1
bourdieu,1
independentinvestigation,1
onstructionofjustice,1
idampan,1
firecomey,1
colombia,1
archaïsme,1
9may,1
ubuntu,1
valls,1
va10,1
boston,1
france2,1
marionmarechal,1
néolibéralisme,1
crocodiletears,1
drainthewhitehouse,1
dylanimp,1
crosscheck,1
apenglish,1
borderwall,1
watergate,1
mitchmcconnell,1
i2sdale,1
bringbackgeneralflynn,1
americafirst,1
vegas,1
monumentsforall,1
fillon,1
cltv,1
prince,1
beckyinchief,1
amlo,1
tellsallheknows,1
bootcamp,1
fired,1
allmets,1
ncpol,1
free,1
gopshame,1
gym,1
uniteblue,1
lnyhbt,1
lannion,1
freakumfreakum,1
realtalk,1
wewillprevail,1
législatives2017,1
flynnghazi,1
spiceyinthehedge,1
fn,1
bpshow,1
inaugurationday,1
thankateacher,1
getoverit,1
truepundit,1
ahora,1
ass,1
maui,1
dictadura,1
lebron,1
resistance,1
yaaaasssprince,1
antifa,1
macronleaks,1
warriors,1
truth,1
corinneehrel,1
uspoli,1
cestcanteloup,1
preexistingcondition,1
corruption,1
iran,1
arnews1936,1
exceltraining,1
magalols,1
sportsbetting,1
yates,1
voterid,1
foia,1
grandjuryny,1
republican,1
obamacare,1
tennistoughcall,1
fakepresident,1
newsnight,1
huckabee,1
socalledpresident,1
incendis,1
weiner,1
whitehouse,1
follow,1
congress,1
kleptocracy,1
policebrutality,1
ilovemyjob,1
syria,1
election,1
soundthealarm,1
monde,1
libtards,1
vz7,1
calabozo,1
icymi,1
redpill,1
democratic,1
kag,1
no,1
trumprussis,1
cheapshot,1
linux,1
majoritepourlafrance,1
clinton,1
snl,1
miguelcastillo,1
realchange,1
brexit,1
quebecos,1
stopmacron,1
gopcirclingthedrain,1
pretenderinchief,1
umesbme,1
wiunion,1
mentioned,1
victoryday,1
intelgroup,1
patronat,1
hillaryemails,1
makeyourownlane,1
g1,1
looneyleft,1
maddow,1
idiot,1
defstar5,1
hillaryclinton,1
sallyyates,1
trumpstoleit,1
ge2017,1
gnb,1
ac360,1
usa,1
standwithcomey,1
dems,1
feedly,1
killercops,1
lawandorder,1
rightinthefeels,1
senate,1
butt,1
aplangexam,1
daytona,1
hommage,1
nocredibility,1
idaobama,1
alternativefacts,1
louvre,1
morningjoe,1
faceswaplive,1
legislatives2017,1
newyorktimes,1
umes,1
saturdaynightmassacre,1
