date,retweet_Monthly
May 2017,656931
Apr 2017,2296
Mar 2017,1533
Jan 2017,1531
Feb 2017,1380
Nov 2016,953
Oct 2016,391
Dec 2016,385
Jul 2015,314
Sep 2016,255
Aug 2016,209
Jul 2016,116
Mar 2016,102
May 2016,82
Jun 2016,74
Apr 2016,64
Jan 2016,44
Dec 2015,29
Feb 2016,28
May 2014,21
May 2015,19
Aug 2015,13
Nov 2015,9
Sep 2015,8
Mar 2015,4
Jun 2015,3
Oct 2010,3
Nov 2014,3
Oct 2015,3
Oct 2012,2
Jan 2015,2
Jul 2012,1
Sep 2014,1
Feb 2013,1
May 2009,1
Jan 2010,1
Jun 2014,1
Aug 2012,1
Apr 2015,1
Apr 2012,1
Dec 2014,1
Nov 2013,1
Oct 2013,1
